Object;Year;Month;Day;Hours;Minutes;Distance (LD);Velocity (km/s);Impact Probability;Hazard Scale;Danger;Diameter;Id
(2008 DB)            ;1900;Feb;20;10;21;70.5;12.3;3.70E-05;-5;0;31.0;(2008 DB)            1900Feb20
(2011 DS)            ;1901;Aug;14;19;20;7.9;7.2;2.70E-05;-6.2;0;18.0;(2011 DS)            1901Aug14
(2016 DB)            ;1901;Feb;13;21;35;39.1;12.2;0.5     ;-11;0;8.65;(2016 DB)            1901Feb13
(2016 FV13)          ;1901;Jul;20;20;4;42;9;2.50E-05;-5.3;0;29.5;(2016 FV13)          1901Jul20
(2016 SU2)           ;1901;Jan;4;15;1;46.4;10;4.40E-06;-7.3;0;13.0;(2016 SU2)           1901Jan4
(2017 SU17)          ;1901;Sep;27;12;58;18.5;9.7;2.60E-05;-6.8;0;10.85;(2017 SU17)          1901Sep27
(2010 TW54)          ;1902;Apr;6;18;34;25.1;5.9;3.20E-05;-6.1;0;13.0;(2010 TW54)          1902Apr6
(2016 DB)            ;1902;Jun;1;9;47;14.5;10;0.5     ;-11;0;8.65;(2016 DB)            1902Jun1
(2016 SR2)           ;1902;Oct;1;23;52;30.4;8.2;3.90E-07;-7.6;0;24.5;(2016 SR2)           1902Oct1
(2016 WF7)           ;1902;Nov;20;8;56;71.7;12.4;1.00E-07;-9.3;0;7.3;(2016 WF7)           1902Nov20
(2016 FV13)          ;1903;Aug;3;4;14;33.9;11.1;2.50E-05;-5.3;0;29.5;(2016 FV13)          1903Aug3
(2011 DS)            ;1904;Feb;24;1;0;51.6;10.6;2.70E-05;-6.2;0;18.0;(2011 DS)            1904Feb24
(2016 SR2)           ;1904;Mar;24;16;52;21.5;7.5;3.90E-07;-7.6;0;24.5;(2016 SR2)           1904Mar24
(2002 EM7)           ;1905;Jul;4;13;5;23.2;8.8;6.10E-08;-7.3;1;56.5;(2002 EM7)           1905Jul4
(2014 QF33)          ;1905;Nov;30;10;40;47;26.3;1.40E-07;-6.1;1;79.0;(2014 QF33)          1905Nov30
(2016 FV13)          ;1905;Aug;10;6;47;50.5;13.7;2.50E-05;-5.3;0;29.5;(2016 FV13)          1905Aug10
(2004 FH)            ;1906;Feb;26;23;23;17.9;6;5.40E-06;-6.6;0;31.0;(2004 FH)            1906Feb26
(2015 YJ)            ;1906;May;18;16;33;27.1;14.3;0.0016  ;-4.4;0;10.05;(2015 YJ)            1906May18
(2016 FV7)           ;1906;Apr;4;1;37;42.9;29.5;0.91    ;-7.8;1;102.0;(2016 FV7)           1906Apr4
(2017 QF3)           ;1906;Feb;14;10;13;20.7;11.1;3.20E-05;-6.1;0;11.6;(2017 QF3)           1906Feb14
(2005 VN5)           ;1907;Aug;25;9;23;55.2;5.2;5.00E-05;-5.9;0;17.5;(2005 VN5)           1907Aug25
(2005 VN5)           ;1907;May;26;18;9;76.7;4.8;5.00E-05;-5.9;0;17.5;(2005 VN5)           1907May26
(2016 DB)            ;1907;Feb;14;20;6;42.4;12.5;0.5     ;-11;0;8.65;(2016 DB)            1907Feb14
(2016 WF7)           ;1907;Dec;25;5;6;39;5.3;1.00E-07;-9.3;0;7.3;(2016 WF7)           1907Dec25
99942 Apophis (2004 MN4);1907;Apr;13;0;24;11.3;5.1;8.90E-06;-2.9;1;495.0;99942 Apophis (2004 MN4)1907Apr13
(2016 DB)            ;1908;Jun;1;0;59;13.1;9.8;0.5     ;-11;0;8.65;(2016 DB)            1908Jun1
(2017 FB1)           ;1908;Aug;25;15;12;24;23.6;4.10E-07;-5.8;1;88.0;(2017 FB1)           1908Aug25
(2015 TC25)          ;1909;Feb;22;4;4;69.7;8.9;8.20E-07;-8.7;0;5.4;(2015 TC25)          1909Feb22
(2016 WU)            ;1909;May;19;13;47;9.5;6.5;2.60E-06;-7.1;0;15.1;(2016 WU)            1909May19
(2008 DB)            ;1910;Oct;10;14;57;64.7;5.7;3.70E-05;-5;0;31.0;(2008 DB)            1910Oct10
(2008 DB)            ;1910;Jul;20;2;10;75.6;4.5;3.70E-05;-5;0;31.0;(2008 DB)            1910Jul20
(2014 QF33)          ;1910;Dec;10;2;41;68.4;18.4;1.40E-07;-6.1;1;79.0;(2014 QF33)          1910Dec10
(2015 BY3)           ;1910;Jul;21;3;16;53.5;12.6;8.00E-07;-7.5;0;13.7;(2015 BY3)           1910Jul21
(2016 WU)            ;1910;Sep;21;0;7;73;5.3;2.60E-06;-7.1;0;15.1;(2016 WU)            1910Sep21
(2014 WE6)           ;1911;Nov;18;14;43;14.8;3.3;4.70E-05;-7.6;0;3.55;(2014 WE6)           1911Nov18
(2016 RD34)          ;1911;Sep;30;5;29;6.5;1.7;0.0062  ;-3.8;0;13.0;(2016 RD34)          1911Sep30
(2016 WU)            ;1911;Nov;24;22;59;63;11.4;2.60E-06;-7.1;0;15.1;(2016 WU)            1911Nov24
101955 Bennu (1999 RQ36);1911;Sep;22;21;18;5.5;6.3;0.00037 ;-2.3;1;390.0;101955 Bennu (1999 RQ36)1911Sep22
(2008 DB)            ;1912;Feb;16;22;28;34.6;9.6;3.70E-05;-5;0;31.0;(2008 DB)            1912Feb16
(2008 KN11)          ;1912;Nov;4;21;17;34.8;15.2;3.60E-08;-6.3;1;100.5;(2008 KN11)          1912Nov4
(2010 RF12)          ;1912;Apr;18;3;11;51.1;8.7;0.05    ;-3.3;0;10.2;(2010 RF12)          1912Apr18
(2006 UJ185)         ;1913;Oct;31;0;58;8.9;14.8;2.50E-05;-6.4;0;11.5;(2006 UJ185)         1913Oct31
(2016 DB)            ;1913;Feb;13;22;52;31.2;11.6;0.5     ;-11;0;8.65;(2016 DB)            1913Feb13
(2016 WF7)           ;1913;Feb;19;16;30;44.6;10.2;1.00E-07;-9.3;0;7.3;(2016 WF7)           1913Feb19
(2016 WN7)           ;1913;Dec;13;7;33;36.9;5.3;2.60E-06;-7.3;0;11.5;(2016 WN7)           1913Dec13
410777 (2009 FD)     ;1913;Mar;20;17;14;57.1;20.3;0.0016  ;-1.8;2;165.0;410777 (2009 FD)     1913Mar20
(2016 CY135)         ;1914;Mar;10;4;33;2.3;6.7;1.40E-06;-6.2;1;54.0;(2016 CY135)         1914Mar10
(2016 DB)            ;1914;Jun;1;3;35;25.2;10.9;0.5     ;-11;0;8.65;(2016 DB)            1914Jun1
410777 (2009 FD)     ;1914;Oct;19;19;17;53.6;11.8;0.0016  ;-1.8;2;165.0;410777 (2009 FD)     1914Oct19
99942 Apophis (2004 MN4);1914;Nov;6;23;33;63.4;4.1;8.90E-06;-2.9;1;495.0;99942 Apophis (2004 MN4)1914Nov6
(2004 FH)            ;1915;Mar;24;8;23;18;8.4;5.40E-06;-6.6;0;31.0;(2004 FH)            1915Mar24
(2007 WP3)           ;1915;Nov;11;7;31;3.6;13.2;7.70E-06;-5;1;86.5;(2007 WP3)           1915Nov11
(2010 RF12)          ;1915;Sep;10;6;14;1.2;5.2;0.05    ;-3.3;0;10.2;(2010 RF12)          1915Sep10
(2010 TW54)          ;1915;Mar;30;21;7;25.8;9.7;3.20E-05;-6.1;0;13.0;(2010 TW54)          1915Mar30
(2015 YJ)            ;1915;Dec;6;22;21;51.5;12.4;0.0016  ;-4.4;0;10.05;(2015 YJ)            1915Dec6
99942 Apophis (2004 MN4);1915;Jan;28;18;6;47.5;4.5;8.90E-06;-2.9;1;495.0;99942 Apophis (2004 MN4)1915Jan28
(2005 VN5)           ;1916;Sep;5;4;6;58;5.4;5.00E-05;-5.9;0;17.5;(2005 VN5)           1916Sep5
(2010 RF12)          ;1916;Sep;8;5;4;13;6;0.05    ;-3.3;0;10.2;(2010 RF12)          1916Sep8
(2016 AF2)           ;1916;Dec;23;19;59;3.7;5.7;2.60E-07;-8.2;0;11.5;(2016 AF2)           1916Dec23
(2016 EV84)          ;1916;Mar;30;2;0;73;9.3;2.80E-06;-6.8;0;19.0;(2016 EV84)          1916Mar30
(2016 WF7)           ;1916;Nov;20;8;36;76.7;12.8;1.00E-07;-9.3;0;7.3;(2016 WF7)           1916Nov20
(2017 OO1)           ;1916;Dec;29;23;30;76.1;12.2;3.50E-08;-7.6;1;53.5;(2017 OO1)           1916Dec29
(2017 OO1)           ;1916;Jul;21;17;46;37.6;10.7;3.50E-08;-7.6;1;53.5;(2017 OO1)           1916Jul21
443104 (2013 XK22)   ;1916;Dec;20;4;34;17;5.9;1.40E-06;-5.8;1;59.5;443104 (2013 XK22)   1916Dec20
(2004 FH)            ;1917;Jan;27;0;3;58.6;11.5;5.40E-06;-6.6;0;31.0;(2004 FH)            1917Jan27
(2008 GY21)          ;1917;Apr;9;15;18;0.5;11.2;2.30E-07;-8.6;0;13.0;(2008 GY21)          1917Apr9
